#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	12	remain	12	wait	0
At	time	2	process	1	started	arr	1	total	12	remain	11	wait	0
At	time	3	process	1	started	arr	1	total	12	remain	10	wait	0
At	time	3	process	2	started	arr	1	total	8	remain	8	wait	2
At	time	4	process	2	started	arr	1	total	8	remain	7	wait	2
At	time	5	process	2	started	arr	1	total	8	remain	6	wait	2
At	time	5	process	3	started	arr	1	total	9	remain	9	wait	4
At	time	6	process	3	started	arr	1	total	9	remain	8	wait	4
At	time	7	process	3	started	arr	1	total	9	remain	7	wait	4
At	time	7	process	4	started	arr	1	total	5	remain	5	wait	6
At	time	8	process	4	started	arr	1	total	5	remain	4	wait	6
At	time	9	process	4	started	arr	1	total	5	remain	3	wait	6
At	time	9	process	5	started	arr	1	total	8	remain	8	wait	8
At	time	10	process	5	started	arr	1	total	8	remain	7	wait	8
At	time	11	process	5	started	arr	1	total	8	remain	6	wait	8
At	time	11	process	6	started	arr	1	total	10	remain	10	wait	10
At	time	12	process	6	started	arr	1	total	10	remain	9	wait	10
At	time	13	process	6	started	arr	1	total	10	remain	8	wait	10
At	time	13	process	7	started	arr	1	total	6	remain	6	wait	12
At	time	14	process	7	started	arr	1	total	6	remain	5	wait	12
At	time	15	process	7	started	arr	1	total	6	remain	4	wait	12
At	time	15	process	8	started	arr	1	total	3	remain	3	wait	14
At	time	16	process	8	started	arr	1	total	3	remain	2	wait	14
At	time	17	process	8	started	arr	1	total	3	remain	1	wait	14
At	time	17	process	1	started	arr	1	total	12	remain	10	wait	16
At	time	18	process	1	started	arr	1	total	12	remain	9	wait	16
At	time	19	process	1	started	arr	1	total	12	remain	8	wait	16
At	time	19	process	2	started	arr	1	total	8	remain	6	wait	18
At	time	20	process	2	started	arr	1	total	8	remain	5	wait	18
At	time	21	process	2	started	arr	1	total	8	remain	4	wait	18
At	time	21	process	3	started	arr	1	total	9	remain	7	wait	20
At	time	22	process	3	started	arr	1	total	9	remain	6	wait	20
At	time	23	process	3	started	arr	1	total	9	remain	5	wait	20
At	time	23	process	4	started	arr	1	total	5	remain	3	wait	22
At	time	24	process	4	started	arr	1	total	5	remain	2	wait	22
At	time	25	process	4	started	arr	1	total	5	remain	1	wait	22
At	time	25	process	5	started	arr	1	total	8	remain	6	wait	24
At	time	26	process	5	started	arr	1	total	8	remain	5	wait	24
At	time	27	process	5	started	arr	1	total	8	remain	4	wait	24
At	time	27	process	6	started	arr	1	total	10	remain	8	wait	26
At	time	28	process	6	started	arr	1	total	10	remain	7	wait	26
At	time	29	process	6	started	arr	1	total	10	remain	6	wait	26
At	time	29	process	7	started	arr	1	total	6	remain	4	wait	28
At	time	30	process	7	started	arr	1	total	6	remain	3	wait	28
At	time	31	process	7	started	arr	1	total	6	remain	2	wait	28
At	time	31	process	8	started	arr	1	total	3	remain	1	wait	30
At	time	32	process	8	started	arr	1	total	3	remain	0	wait	30
At	time	32	process	8	finished	arr	1	total	3	remain	0	wait	30	TA	31	WTA	10.33
At	time	32	process	1	started	arr	1	total	12	remain	8	wait	31
At	time	33	process	1	started	arr	1	total	12	remain	7	wait	31
At	time	34	process	1	started	arr	1	total	12	remain	6	wait	31
At	time	34	process	2	started	arr	1	total	8	remain	4	wait	33
At	time	35	process	2	started	arr	1	total	8	remain	3	wait	33
At	time	36	process	2	started	arr	1	total	8	remain	2	wait	33
At	time	36	process	3	started	arr	1	total	9	remain	5	wait	35
At	time	37	process	3	started	arr	1	total	9	remain	4	wait	35
At	time	38	process	3	started	arr	1	total	9	remain	3	wait	35
At	time	38	process	4	started	arr	1	total	5	remain	1	wait	37
At	time	39	process	4	started	arr	1	total	5	remain	0	wait	37
At	time	39	process	4	finished	arr	1	total	5	remain	0	wait	37	TA	38	WTA	7.60
At	time	39	process	5	started	arr	1	total	8	remain	4	wait	38
At	time	40	process	5	started	arr	1	total	8	remain	3	wait	38
