#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	12	remain	12	wait	0
At	time	2	process	1	started	arr	1	total	12	remain	11	wait	0
At	time	3	process	1	started	arr	1	total	12	remain	10	wait	0
At	time	4	process	1	started	arr	1	total	12	remain	9	wait	0
At	time	4	process	2	started	arr	2	total	8	remain	8	wait	2
At	time	5	process	2	started	arr	2	total	8	remain	7	wait	2
At	time	6	process	2	started	arr	2	total	8	remain	6	wait	2
At	time	7	process	2	started	arr	2	total	8	remain	5	wait	2
At	time	7	process	1	started	arr	1	total	12	remain	9	wait	6
At	time	8	process	1	started	arr	1	total	12	remain	8	wait	6
At	time	9	process	1	started	arr	1	total	12	remain	7	wait	6
At	time	10	process	1	started	arr	1	total	12	remain	6	wait	6
At	time	10	process	2	started	arr	2	total	8	remain	5	wait	8
At	time	11	process	2	started	arr	2	total	8	remain	4	wait	8
At	time	12	process	2	started	arr	2	total	8	remain	3	wait	8
At	time	13	process	2	started	arr	2	total	8	remain	2	wait	8
At	time	13	process	1	started	arr	1	total	12	remain	6	wait	12
At	time	14	process	1	started	arr	1	total	12	remain	5	wait	12
At	time	15	process	1	started	arr	1	total	12	remain	4	wait	12
At	time	16	process	1	started	arr	1	total	12	remain	3	wait	12
At	time	16	process	3	started	arr	12	total	9	remain	9	wait	4
At	time	17	process	3	started	arr	12	total	9	remain	8	wait	4
At	time	18	process	3	started	arr	12	total	9	remain	7	wait	4
At	time	19	process	3	started	arr	12	total	9	remain	6	wait	4
At	time	19	process	2	started	arr	2	total	8	remain	2	wait	17
At	time	20	process	2	started	arr	2	total	8	remain	1	wait	17
At	time	21	process	2	started	arr	2	total	8	remain	0	wait	17
At	time	21	process	2	finished	arr	2	total	8	remain	0	wait	17	TA	19	WTA	2.38
At	time	21	process	4	started	arr	15	total	5	remain	5	wait	6
At	time	22	process	4	started	arr	15	total	5	remain	4	wait	6
At	time	23	process	4	started	arr	15	total	5	remain	3	wait	6
At	time	24	process	4	started	arr	15	total	5	remain	2	wait	6
At	time	24	process	1	started	arr	1	total	12	remain	3	wait	23
At	time	25	process	1	started	arr	1	total	12	remain	2	wait	23
At	time	26	process	1	started	arr	1	total	12	remain	1	wait	23
At	time	27	process	1	started	arr	1	total	12	remain	0	wait	23
At	time	27	process	1	finished	arr	1	total	12	remain	0	wait	23	TA	26	WTA	2.17
At	time	27	process	5	started	arr	18	total	8	remain	8	wait	9
At	time	28	process	5	started	arr	18	total	8	remain	7	wait	9
At	time	29	process	5	started	arr	18	total	8	remain	6	wait	9
At	time	30	process	5	started	arr	18	total	8	remain	5	wait	9
At	time	30	process	3	started	arr	12	total	9	remain	6	wait	18
At	time	31	process	3	started	arr	12	total	9	remain	5	wait	18
At	time	32	process	3	started	arr	12	total	9	remain	4	wait	18
At	time	33	process	3	started	arr	12	total	9	remain	3	wait	18
At	time	33	process	6	started	arr	22	total	10	remain	10	wait	11
At	time	34	process	6	started	arr	22	total	10	remain	9	wait	11
At	time	35	process	6	started	arr	22	total	10	remain	8	wait	11
At	time	36	process	6	started	arr	22	total	10	remain	7	wait	11
At	time	36	process	4	started	arr	15	total	5	remain	2	wait	21
At	time	37	process	4	started	arr	15	total	5	remain	1	wait	21
At	time	38	process	4	started	arr	15	total	5	remain	0	wait	21
At	time	38	process	4	finished	arr	15	total	5	remain	0	wait	21	TA	23	WTA	4.60
At	time	38	process	7	started	arr	25	total	6	remain	6	wait	13
At	time	39	process	7	started	arr	25	total	6	remain	5	wait	13
At	time	40	process	7	started	arr	25	total	6	remain	4	wait	13
At	time	41	process	7	started	arr	25	total	6	remain	3	wait	13
At	time	41	process	8	started	arr	26	total	3	remain	3	wait	15
At	time	42	process	8	started	arr	26	total	3	remain	2	wait	15
At	time	43	process	8	started	arr	26	total	3	remain	1	wait	15
At	time	44	process	8	started	arr	26	total	3	remain	0	wait	15
