#At	time	x	process	y	state	arr	w	total	z	remain	y	wait	k
At	time	1	process	1	started	arr	1	total	12	remain	12	wait	0
At	time	2	process	1	started	arr	1	total	12	remain	11	wait	0
At	time	3	process	1	started	arr	1	total	12	remain	10	wait	0
At	time	3	process	1	stopped	arr	1	total	12	remain	10	wait	0
At	time	3	process	1	resumed	arr	1	total	12	remain	10	wait	0
At	time	4	process	1	resumed	arr	1	total	12	remain	9	wait	0
At	time	5	process	1	resumed	arr	1	total	12	remain	8	wait	0
At	time	5	process	1	stopped	arr	1	total	12	remain	8	wait	0
At	time	5	process	1	resumed	arr	1	total	12	remain	8	wait	0
At	time	6	process	1	resumed	arr	1	total	12	remain	7	wait	0
At	time	7	process	1	resumed	arr	1	total	12	remain	6	wait	0
At	time	7	process	1	stopped	arr	1	total	12	remain	6	wait	0
At	time	7	process	1	resumed	arr	1	total	12	remain	6	wait	0
At	time	8	process	1	resumed	arr	1	total	12	remain	5	wait	0
At	time	9	process	1	resumed	arr	1	total	12	remain	4	wait	0
At	time	9	process	1	stopped	arr	1	total	12	remain	4	wait	0
At	time	9	process	1	resumed	arr	1	total	12	remain	4	wait	0
At	time	10	process	1	resumed	arr	1	total	12	remain	3	wait	0
At	time	11	process	1	resumed	arr	1	total	12	remain	2	wait	0
At	time	11	process	1	stopped	arr	1	total	12	remain	2	wait	0
At	time	11	process	2	started	arr	10	total	2	remain	2	wait	1
At	time	12	process	2	started	arr	10	total	2	remain	1	wait	1
At	time	13	process	2	started	arr	10	total	2	remain	0	wait	1
At	time	13	process	2	finished	arr	10	total	2	remain	0	wait	1	TA	3	WTA	1.50
At	time	13	process	1	resumed	arr	1	total	12	remain	2	wait	0
At	time	14	process	1	resumed	arr	1	total	12	remain	1	wait	0
At	time	15	process	1	resumed	arr	1	total	12	remain	0	wait	0
At	time	15	process	1	finished	arr	1	total	12	remain	0	wait	0	TA	14	WTA	1.17
At	time	15	process	3	started	arr	13	total	9	remain	9	wait	2
At	time	16	process	3	started	arr	13	total	9	remain	8	wait	2
At	time	17	process	3	started	arr	13	total	9	remain	7	wait	2
At	time	17	process	3	stopped	arr	13	total	9	remain	7	wait	2
At	time	17	process	4	started	arr	17	total	5	remain	5	wait	0
At	time	18	process	4	started	arr	17	total	5	remain	4	wait	0
At	time	19	process	4	started	arr	17	total	5	remain	3	wait	0
At	time	19	process	4	stopped	arr	17	total	5	remain	3	wait	0
At	time	19	process	3	resumed	arr	13	total	9	remain	7	wait	2
At	time	20	process	3	resumed	arr	13	total	9	remain	6	wait	2
At	time	21	process	3	resumed	arr	13	total	9	remain	5	wait	2
At	time	21	process	3	stopped	arr	13	total	9	remain	5	wait	2
At	time	21	process	5	started	arr	19	total	8	remain	8	wait	2
At	time	22	process	5	started	arr	19	total	8	remain	7	wait	2
At	time	23	process	5	started	arr	19	total	8	remain	6	wait	2
At	time	23	process	5	stopped	arr	19	total	8	remain	6	wait	2
At	time	23	process	4	resumed	arr	17	total	5	remain	3	wait	0
At	time	24	process	4	resumed	arr	17	total	5	remain	2	wait	0
At	time	25	process	4	resumed	arr	17	total	5	remain	1	wait	0
At	time	25	process	4	stopped	arr	17	total	5	remain	1	wait	0
At	time	25	process	3	resumed	arr	13	total	9	remain	5	wait	2
At	time	26	process	3	resumed	arr	13	total	9	remain	4	wait	2
At	time	27	process	3	resumed	arr	13	total	9	remain	3	wait	2
At	time	27	process	3	stopped	arr	13	total	9	remain	3	wait	2
At	time	27	process	6	started	arr	22	total	10	remain	10	wait	5
At	time	28	process	6	started	arr	22	total	10	remain	9	wait	5
At	time	29	process	6	started	arr	22	total	10	remain	8	wait	5
At	time	29	process	6	stopped	arr	22	total	10	remain	8	wait	5
At	time	29	process	7	started	arr	23	total	5	remain	5	wait	6
At	time	30	process	7	started	arr	23	total	5	remain	4	wait	6
At	time	31	process	7	started	arr	23	total	5	remain	3	wait	6
