#At	time	x	allocated	y	bytes	for	process	z	from	i	to	j
At	time	1	allocated	8	bytes	for	process	1	from	0	to	7
At	time	1	allocated	16	bytes	for	process	2	from	16	to	31
At	time	1	allocated	128	bytes	for	process	3	from	128	to	255
At	time	1	allocated	128	bytes	for	process	4	from	256	to	383
At	time	1	allocated	128	bytes	for	process	5	from	384	to	511
At	time	1	allocated	128	bytes	for	process	6	from	512	to	639
At	time	1	allocated	128	bytes	for	process	7	from	640	to	767
At	time	2	allocated	32	bytes	for	process	8	from	32	to	63
At	time	3	allocated	100	bytes	for	process	9	from	768	to	895
At	time	3	allocated	64	bytes	for	process	10	from	64	to	127
At	time	5	freed	16	bytes	for	process	2	from	16	to	31
At	time	15	freed	128	bytes	for	process	7	from	640	to	767
At	time	17	freed	32	bytes	for	process	8	from	32	to	63
At	time	21	freed	64	bytes	for	process	10	from	64	to	127
At	time	25	freed	128	bytes	for	process	3	from	128	to	255
At	time	29	freed	128	bytes	for	process	5	from	384	to	511
At	time	36	freed	128	bytes	for	process	4	from	256	to	383
At	time	39	freed	100	bytes	for	process	9	from	768	to	895
At	time	42	freed	128	bytes	for	process	6	from	512	to	639
At	time	44	freed	8	bytes	for	process	1	from	0	to	7
